asv	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_09226	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	OLB12	NA
ASV_09227	Bacteria	Acidobacteriota	Subgroup 22	NA	NA	NA	NA
ASV_09228	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV_09229	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Simkaniaceae	NA	NA
ASV_09230	Bacteria	Acidobacteriota	Acidobacteriae	TSBb06	NA	NA	NA
ASV_09231	Bacteria	Pseudomonadota	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_09232	Bacteria	Pseudomonadota	Gammaproteobacteria	UBA10353 marine group	NA	NA	NA
ASV_09233	Bacteria	Pseudomonadota	Alphaproteobacteria	NA	NA	NA	NA
ASV_09234	Bacteria	Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	NA	NA
ASV_09235	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Parasphingopyxis	NA
ASV_09236	Bacteria	Gemmatimonadota	BD2-11 terrestrial group	NA	NA	NA	NA
ASV_09237	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09238	Bacteria	Pseudomonadota	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_09239	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	NA	NA
ASV_09240	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09241	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_09242	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09243	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	NA	NA
ASV_09244	Bacteria	Pseudomonadota	Alphaproteobacteria	Holosporales	Holosporaceae	NA	NA
ASV_09245	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09246	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus	NA
ASV_09247	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	NA	NA
ASV_09248	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09249	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	oc32	NA
ASV_09250	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	NA
ASV_09251	Bacteria	Thermodesulfobacteriota	NA	NA	NA	NA	NA
ASV_09252	Bacteria	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	NA	NA
ASV_09253	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_09254	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	AB1	NA	NA
ASV_09255	Bacteria	Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella	NA
ASV_09256	Bacteria	Cyanobacteriota	Vampirivibrionia	Caenarcaniphilales	NA	NA	NA
ASV_09257	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	NA	NA
ASV_09258	Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA
ASV_09259	Bacteria	Acidobacteriota	Subgroup 26	NA	NA	NA	NA
ASV_09260	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	NA
ASV_09261	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09262	Bacteria	Pseudomonadota	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_09263	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV_09264	Bacteria	Planctomycetota	Planctomycetes	NA	NA	NA	NA
ASV_09265	Bacteria	NA	NA	NA	NA	NA	NA
ASV_09266	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	BD1-7 clade	NA
ASV_09267	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	koll11	NA	NA
ASV_09268	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA	NA
ASV_09269	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	SM2D12	NA	NA
ASV_09270	Bacteria	Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	NA	NA
ASV_09271	Bacteria	NB1-j	NA	NA	NA	NA	NA
ASV_09272	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA
ASV_09273	Bacteria	Pseudomonadota	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_09274	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	NA	NA
ASV_09275	Bacteria	Pseudomonadota	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas	NA
ASV_09276	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV_09277	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	NA	NA
ASV_09278	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	NA
ASV_09279	Bacteria	Pseudomonadota	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_09280	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09281	Bacteria	Pseudomonadota	Gammaproteobacteria	Piscirickettsiales	Piscirickettsiaceae	Candidatus Endoecteinascidia	NA
ASV_09282	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09283	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA
ASV_09284	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09285	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	DEV007	NA	NA
ASV_09286	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Roseovarius	NA
ASV_09287	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup 10	NA
ASV_09288	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA
ASV_09289	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Oceanispirochaeta	NA
ASV_09290	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV_09291	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA	NA
ASV_09292	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA
ASV_09293	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
ASV_09294	Bacteria	Pseudomonadota	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV_09295	Bacteria	Myxococcota	Polyangiia	Polyangiales	Sandaracinaceae	Sandaracinus	NA
ASV_09296	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Simkaniaceae	NA	NA
